Property_address,Listing_link,Rent_price,#bedrooms,#bathrooms,Square_footage,images
"38 W Badger Creek Trl, Flagstaff, AZ 86005",https://www.zillow.com/homedetails/38-W-Badger-Creek-Trl-Flagstaff-AZ-86005/67131954_zpid/,"$3,550/mo",4,3,2430,"https://photos.zillowstatic.com/fp/e832924f6ff7baf6c8c9d160e222808d-p_e.jpg,https://photos.zillowstatic.com/fp/148a47bdc8d0a35d8a67af5700a15bd3-p_e.jpg,https://photos.zillowstatic.com/fp/57f4f3f7eac8c11278f5c87562c9509b-p_e.jpg,https://photos.zillowstatic.com/fp/8430c647fddc170ff962c2a64744eddf-p_e.jpg,https://photos.zillowstatic.com/fp/c886506daef5f90526e46bfa7cb6f42a-p_e.jpg"
"2073 W University Ave, Flagstaff, AZ 86001",https://www.zillow.com/homedetails/2073-W-University-Ave-Flagstaff-AZ-86001/64956602_zpid/,"$3,450/mo",4,2,1906,"https://photos.zillowstatic.com/fp/dcab21ce84b42e6722197b5998495567-p_e.jpg,https://photos.zillowstatic.com/fp/32bb014abcd352fb126569b1d5cd461c-p_e.jpg,https://photos.zillowstatic.com/fp/402d3e400f15114446766bc5e6c55139-p_e.jpg,https://photos.zillowstatic.com/fp/e9f84930e18d4fce6782fcddd110b7b4-p_e.jpg,https://photos.zillowstatic.com/fp/1117d661490cff58a29f28eb0bc0de5f-p_e.jpg,https://photos.zillowstatic.com/fp/ed0a361e04cf81b71ec45e7946a50b79-p_e.jpg,https://photos.zillowstatic.com/fp/84de6e3e1599af64c693f73be3afbc44-p_e.jpg,https://photos.zillowstatic.com/fp/ac54adc97ce08471df781b3fdb87d58b-p_e.jpg,https://photos.zillowstatic.com/fp/3704d65bacbde838c50b3145cfe2000e-p_e.jpg,https://photos.zillowstatic.com/fp/1fcc833111281dd69e89c0db674a9451-p_e.jpg,https://photos.zillowstatic.com/fp/a474567af4543887790819c399c75e51-p_e.jpg,https://photos.zillowstatic.com/fp/a807efd71316d98101a2aa9660d98b99-p_e.jpg,https://photos.zillowstatic.com/fp/2483889353c2c873e1b6d1503215c909-p_e.jpg,https://photos.zillowstatic.com/fp/49c127b0a8f4e0e3f5e89327e362654d-p_e.jpg,https://photos.zillowstatic.com/fp/40d65f0d62db9ef596fe31ec85f95bcf-p_e.jpg,https://photos.zillowstatic.com/fp/dd3789086af103494c3fb373178974a8-p_e.jpg,https://photos.zillowstatic.com/fp/104afd0d5415e52807d9fee927c44e11-p_e.jpg,https://photos.zillowstatic.com/fp/301873c0a0535a8a5c21553c69a2b2c2-p_e.jpg,https://photos.zillowstatic.com/fp/f0d729653ab984fba18324ec738e6d04-p_e.jpg,https://photos.zillowstatic.com/fp/649d578b516f693e603bfe43c67912ea-p_e.jpg,https://photos.zillowstatic.com/fp/8f7a4e672c4db6762b2f2152f718cf7b-p_e.jpg,https://photos.zillowstatic.com/fp/1b1dc2a4ad75f680b7f96e68c4eebeb8-p_e.jpg,https://photos.zillowstatic.com/fp/b3ece46ba81c543c47e17a698df94a44-p_e.jpg,https://photos.zillowstatic.com/fp/1d25f7ffdec5233fd2d6c185043b900a-p_e.jpg,https://photos.zillowstatic.com/fp/bbca48c98e0512801d7e13ef95d8b1a3-p_e.jpg,https://photos.zillowstatic.com/fp/65cc373d4b3e9c3dcf3fa210887bdce5-p_e.jpg,https://photos.zillowstatic.com/fp/e7f11a0718755c9013b56ac5c4acd609-p_e.jpg,https://photos.zillowstatic.com/fp/e1d2ea8c2502069d68842cf218dcc795-p_e.jpg,https://photos.zillowstatic.com/fp/8931f38dacbdc0fd50cf98a5032c1132-p_e.jpg,https://photos.zillowstatic.com/fp/79894d91a07d56c04c2f7ae9248195d4-p_e.jpg,https://photos.zillowstatic.com/fp/768d77f2832cf0424f90c0938b4306c3-p_e.jpg"
"1218 W Weston Trl, Flagstaff, AZ 86005",https://www.zillow.com/homedetails/1218-W-Weston-Trl-Flagstaff-AZ-86005/64954329_zpid/,"$3,000/mo",3,2,1536,"https://photos.zillowstatic.com/fp/2c60dcd4de75267a5ec744267073880c-p_e.jpg,https://photos.zillowstatic.com/fp/795d30d63eee8ac269cd20cac6a4cc4e-p_e.jpg,https://photos.zillowstatic.com/fp/673a7f594561af86c4db508ba4de1c86-p_e.jpg,https://photos.zillowstatic.com/fp/e317b04c66e491e141bfeac68386c945-p_e.jpg,https://photos.zillowstatic.com/fp/f8976a2772b922d507caa2f4f57eeed8-p_e.jpg,https://photos.zillowstatic.com/fp/cc55a5fb5f5d975aa6dd8bb414a842db-p_e.jpg,https://photos.zillowstatic.com/fp/1257c7f12199a2b554afc1e95e57d665-p_e.jpg,https://photos.zillowstatic.com/fp/0d5a102651029e8c90ac23d0c1e29247-p_e.jpg,https://photos.zillowstatic.com/fp/4ef8d977b37ba728c2dbf3d18c41779f-p_e.jpg,https://photos.zillowstatic.com/fp/dc181363346ea3c25cadf4e97a36b4dc-p_e.jpg,https://photos.zillowstatic.com/fp/d3a5f821958c6942aafc38296a7e1368-p_e.jpg,https://photos.zillowstatic.com/fp/4948ca457f307aea4d0adddfc2213d5a-p_e.jpg,https://photos.zillowstatic.com/fp/a4b51312f3ebacf61216fcabba33574a-p_e.jpg,https://photos.zillowstatic.com/fp/88e72f11f9838c1da6491ee47b08d7c5-p_e.jpg,https://photos.zillowstatic.com/fp/71782b42f742afbba4186747eb1d87eb-p_e.jpg,https://photos.zillowstatic.com/fp/98c8858de89479e8ff9111d08db273ce-p_e.jpg,https://photos.zillowstatic.com/fp/c02b505a74ba9f07170149835737f25e-p_e.jpg,https://photos.zillowstatic.com/fp/6dfd488a9f17e7ee6d08eae95fc1daa3-p_e.jpg"
"727 Zuni Dr, Flagstaff, AZ 86001",https://www.zillow.com/homedetails/727-Zuni-Dr-Flagstaff-AZ-86001/2057155364_zpid/,"$2,900/mo",3,2,1696,"https://photos.zillowstatic.com/fp/fbe9a0287bd8d5ad7b794754b9c7ad53-p_e.jpg,https://photos.zillowstatic.com/fp/0c65d021f38f0e6db80ce06040774621-p_e.jpg,https://photos.zillowstatic.com/fp/e15b1a614eaba052c8945fe9463bd93f-p_e.jpg,https://photos.zillowstatic.com/fp/3d6100c5a26da0838a13b0e5f5199ee8-p_e.jpg,https://photos.zillowstatic.com/fp/361c2c1561a417555f8c3b3de4d2ae2c-p_e.jpg,https://photos.zillowstatic.com/fp/956c6236bb3b0ede42d592f3ba1d1397-p_e.jpg,https://photos.zillowstatic.com/fp/1e3ee695a5754144011c3f86ebcb7d45-p_e.jpg,https://photos.zillowstatic.com/fp/df9184fb6548bbf6cf531662c061f1e5-p_e.jpg,https://photos.zillowstatic.com/fp/6e9e31ae505b401123a274e27e519657-p_e.jpg,https://photos.zillowstatic.com/fp/20e9d4795f31d48655d52f8e344dabee-p_e.jpg,https://photos.zillowstatic.com/fp/c3d5f5ae51e7a91fe4e2e90f0312b0d0-p_e.jpg,https://photos.zillowstatic.com/fp/1e698fc45b1f5bacc50eef3187dac2dd-p_e.jpg,https://photos.zillowstatic.com/fp/342e0df699b854d5385318009daa2176-p_e.jpg,https://photos.zillowstatic.com/fp/3436c9cc1dc7bf4695952a39edd214f3-p_e.jpg,https://photos.zillowstatic.com/fp/f497e8a59bb650504c3d3ff2e474d83c-p_e.jpg,https://photos.zillowstatic.com/fp/4b451d1b63f307728ae990c4eb8cb9a6-p_e.jpg,https://photos.zillowstatic.com/fp/30478b269b27a8063513c84e3ddd59ef-p_e.jpg,https://photos.zillowstatic.com/fp/42219d9e176a9e5ae1f9b6d07b5ca4c6-p_e.jpg,https://photos.zillowstatic.com/fp/8da324e87ff951440ad426e3ca593c4d-p_e.jpg"
"3195 N Riviera Way, Flagstaff, AZ 86004",https://www.zillow.com/homedetails/3195-N-Riviera-Way-Flagstaff-AZ-86004/7369184_zpid/,"$2,900/mo",3,2,1950,"https://photos.zillowstatic.com/fp/c63c51cfe0724d60d4aa7e4065e4d097-p_e.jpg,https://photos.zillowstatic.com/fp/0c5428386b50b9708f07b3ed16dc08b3-p_e.jpg,https://photos.zillowstatic.com/fp/5926daa4ffb42a53d4d6cc94c35dc160-p_e.jpg,https://photos.zillowstatic.com/fp/27184773a07f3c9129d229a2cbd6681e-p_e.jpg,https://photos.zillowstatic.com/fp/eb58ba6bca1878534615b383f26efcfd-p_e.jpg,https://photos.zillowstatic.com/fp/6926e6f4ace6db0307ce450e13f710cd-p_e.jpg,https://photos.zillowstatic.com/fp/b0fd3aa6fa07dae8aae650ef0bc96033-p_e.jpg,https://photos.zillowstatic.com/fp/a959c54601fbc3110c4c019038cea8cf-p_e.jpg,https://photos.zillowstatic.com/fp/fc0112e30fe045be130b21af21016a79-p_e.jpg,https://photos.zillowstatic.com/fp/779f6c15c526b5bf9a3c1110163fa3cd-p_e.jpg,https://photos.zillowstatic.com/fp/30da259f7ae8a8fe1950918bf2ab5bd5-p_e.jpg,https://photos.zillowstatic.com/fp/7f4e5bf7e6f1316291aa4a32f093efbc-p_e.jpg,https://photos.zillowstatic.com/fp/cefa3195c584bf6beb029d9ad69b7717-p_e.jpg,https://photos.zillowstatic.com/fp/d38ee2e9ffa7c4bb8a38c3a3ad3bd33d-p_e.jpg,https://photos.zillowstatic.com/fp/80f50c7838990db38dcdbc46b58e438e-p_e.jpg,https://photos.zillowstatic.com/fp/fa06e9d5e2bd88ede2d0baa502389d66-p_e.jpg,https://photos.zillowstatic.com/fp/1391983ed0e1d2579e3cf069e2a5331e-p_e.jpg,https://photos.zillowstatic.com/fp/798bf38d84dfd2d744fa09344c765e28-p_e.jpg,https://photos.zillowstatic.com/fp/0e9e722f998df72b9374ef76be9590c0-p_e.jpg,https://photos.zillowstatic.com/fp/c2b5b9219ae8c2f7bf6e0fc7a861ac26-p_e.jpg,https://photos.zillowstatic.com/fp/8dc687212ec78afffbf00860dcba863e-p_e.jpg,https://photos.zillowstatic.com/fp/c05d1408d562f3e78fe728d910d95497-p_e.jpg,https://photos.zillowstatic.com/fp/3783fb79215fb275dd2c91c6996e7408-p_e.jpg,https://photos.zillowstatic.com/fp/ad63e244fcc8a5ccb8b74c5f34b13fe1-p_e.jpg,https://photos.zillowstatic.com/fp/ae7eeffde8b9fa9f96e584df864139f0-p_e.jpg,https://photos.zillowstatic.com/fp/a240127540e74fe20edbaefc34bb5dd2-p_e.jpg"
"2955 S Pardo Calle, Flagstaff, AZ 86001",https://www.zillow.com/homedetails/2955-S-Pardo-Calle-Flagstaff-AZ-86001/124165430_zpid/,"$3,300/mo",3,2,1562,"https://photos.zillowstatic.com/fp/6473d136226abf57eb18da0c82f21ab1-p_e.jpg,https://photos.zillowstatic.com/fp/1a6ca2fb9f245e7e038a740e24d56295-p_e.jpg,https://photos.zillowstatic.com/fp/ac997201e879fd3bdde2fc3f1aae41e5-p_e.jpg,https://photos.zillowstatic.com/fp/719fef681b426294414d1785bdc8216f-p_e.jpg,https://photos.zillowstatic.com/fp/98e5d726decab21a7cb61d407e380c51-p_e.jpg,https://photos.zillowstatic.com/fp/89e3fe47816b2ff44ef465103ba9b3b9-p_e.jpg,https://photos.zillowstatic.com/fp/80d40a89935604999842134cd96361af-p_e.jpg,https://photos.zillowstatic.com/fp/05880f2f29fd0bdb9e77ec6372599d6d-p_e.jpg,https://photos.zillowstatic.com/fp/ababb42523ce821b4315796471152a8a-p_e.jpg,https://photos.zillowstatic.com/fp/e38f96339c02fc5511aec72cddc8b661-p_e.jpg,https://photos.zillowstatic.com/fp/09083b43cfb1f27107a6cba388eb1088-p_e.jpg,https://photos.zillowstatic.com/fp/13c2ddc2bda71524368073f4ac9f730f-p_e.jpg,https://photos.zillowstatic.com/fp/71ea9714e2a845d025034c2641bdb3af-p_e.jpg,https://photos.zillowstatic.com/fp/8ebb9dbb48e1ed4de125066f54bdeff9-p_e.jpg,https://photos.zillowstatic.com/fp/c445137e25c9b18acaf543fd7adb6662-p_e.jpg,https://photos.zillowstatic.com/fp/fd077a1a0eb2b78750c0ac52305f1bf6-p_e.jpg,https://photos.zillowstatic.com/fp/babd827a0e6abf8970ea79cfc82f7993-p_e.jpg,https://photos.zillowstatic.com/fp/52e83229cc1e9e3f73afe6b884f87bdd-p_e.jpg,https://photos.zillowstatic.com/fp/301466005cd157d2f89859e756f9102b-p_e.jpg,https://photos.zillowstatic.com/fp/1dc212e957c6dbc459e7136fac84aa88-p_e.jpg,https://photos.zillowstatic.com/fp/0192916f6e1fd64cfae37e0260feee84-p_e.jpg,https://photos.zillowstatic.com/fp/fbd2596443b9dba08932415a0bf2c099-p_e.jpg,https://photos.zillowstatic.com/fp/e421efb46f421ec0a12513fd9808c8ef-p_e.jpg,https://photos.zillowstatic.com/fp/f74a30c0ff1bfffdec8a25e280212a2f-p_e.jpg,https://photos.zillowstatic.com/fp/d72b4ea187c34c0d8da45e4df3d83fbd-p_e.jpg,https://photos.zillowstatic.com/fp/aabb0ae49bb570e7b7434e9f3ac5d731-p_e.jpg,https://photos.zillowstatic.com/fp/54fd1255353350dd5a76860e173e0104-p_e.jpg,https://photos.zillowstatic.com/fp/3e579b9c165507438439be42d3cbf3e2-p_e.jpg,https://photos.zillowstatic.com/fp/b8c1da3a36af430cdfad2c98f80a1c74-p_e.jpg,https://photos.zillowstatic.com/fp/67ad40c8166b34dcb3c1119594d29ced-p_e.jpg,https://photos.zillowstatic.com/fp/1f6f7b33bfbf6aad9a54a67d650d2b4e-p_e.jpg,https://photos.zillowstatic.com/fp/c58b1fa910ab9df3ccfbf670a1a3e1ce-p_e.jpg,https://photos.zillowstatic.com/fp/7ccdf08b291699098f893bff6e3cef4c-p_e.jpg,https://photos.zillowstatic.com/fp/4de482d7a69640372de2d04d65f493a4-p_e.jpg,https://photos.zillowstatic.com/fp/79be7e86d9404162cce488f912408acb-p_e.jpg,https://photos.zillowstatic.com/fp/8ebbe443cf145e2400a970847b3aa518-p_e.jpg,https://photos.zillowstatic.com/fp/606d4a95798000c6fada7cc6d7e2f570-p_e.jpg,https://photos.zillowstatic.com/fp/9f9996daf8ad6b99321afed50de16615-p_e.jpg,https://photos.zillowstatic.com/fp/e4efbbdaa7db5d905b1c2124e4723de5-p_e.jpg,https://photos.zillowstatic.com/fp/9d3081d6403c3c5a23e35315b3ec2ba0-p_e.jpg,https://photos.zillowstatic.com/fp/bffa6c124e65f57bc5924041cd6e3e6e-p_e.jpg,https://photos.zillowstatic.com/fp/9b810c51120ca0a68772fe5bea651e25-p_e.jpg,https://photos.zillowstatic.com/fp/5e85c14ae6b9d188d767ad76ec7ea029-p_e.jpg"
"20 E Oak Ave, Flagstaff, AZ 86001",https://www.zillow.com/homedetails/20-E-Oak-Ave-Flagstaff-AZ-86001/7362846_zpid/,"$3,500/mo",3,2,1555,"https://photos.zillowstatic.com/fp/895b425430a830a77e656e8fc7d9480c-p_e.jpg,https://photos.zillowstatic.com/fp/dbcb079d8afd54c1fd492303dc6f4345-p_e.jpg,https://photos.zillowstatic.com/fp/b5695c39a2d1276b20b379247908d52b-p_e.jpg,https://photos.zillowstatic.com/fp/9670dddeab3e0a188cf2a5b15839a9d4-p_e.jpg,https://photos.zillowstatic.com/fp/7939ccf1d5b0b1d6b7fe2c92b99bf3d7-p_e.jpg,https://photos.zillowstatic.com/fp/2f353a13501c8aef1456448942c3a13b-p_e.jpg,https://photos.zillowstatic.com/fp/2bd8d60602966f42e4cd9d34cf39a75d-p_e.jpg,https://photos.zillowstatic.com/fp/814226601a2186d8abce42a49d092ca9-p_e.jpg,https://photos.zillowstatic.com/fp/653e822b3d107276ebd746440604c8a0-p_e.jpg,https://photos.zillowstatic.com/fp/bb81806aa9d2517ebf493ce40bc20993-p_e.jpg,https://photos.zillowstatic.com/fp/b1b97db00c95885e3bd7aaeb4d09bcaa-p_e.jpg,https://photos.zillowstatic.com/fp/638933f062944010e7f84530a6f35871-p_e.jpg,https://photos.zillowstatic.com/fp/e749e570e0049650b36fc21b30593af3-p_e.jpg,https://photos.zillowstatic.com/fp/eb33350d26562dd6115048ce18f2b2f5-p_e.jpg,https://photos.zillowstatic.com/fp/209d8441a503fe0ddb5f231b69d3046b-p_e.jpg,https://photos.zillowstatic.com/fp/96e676eb01242208321d8c3dc523e152-p_e.jpg,https://photos.zillowstatic.com/fp/0750a8d5034696cced7661cb415ceef5-p_e.jpg,https://photos.zillowstatic.com/fp/16bae7a5a242e9a29f094d142b3812a4-p_e.jpg,https://photos.zillowstatic.com/fp/ce0ae97996e2f8518ba5fbbe1814c6e9-p_e.jpg,https://photos.zillowstatic.com/fp/4929e834a4ef57ee1a1247b0ab2cbfaf-p_e.jpg,https://photos.zillowstatic.com/fp/bbcad0ff698c4007f00a5648ce51a69b-p_e.jpg,https://photos.zillowstatic.com/fp/9a5ae39a3cb7f155926f1d816a1b6cac-p_e.jpg,https://photos.zillowstatic.com/fp/0dec09e0d2fad75cb07d170fe176b289-p_e.jpg,https://photos.zillowstatic.com/fp/2a875ab8291b2464db926c65fed3644a-p_e.jpg"
"2225 E Skyline Dr, Flagstaff, AZ 86004",https://www.zillow.com/homedetails/2225-E-Skyline-Dr-Flagstaff-AZ-86004/7361341_zpid/,"$3,500/mo",3,3,2085,"https://photos.zillowstatic.com/fp/0860cae8e656734dac74f9e53f0cc70a-p_e.jpg,https://photos.zillowstatic.com/fp/dbcb079d8afd54c1fd492303dc6f4345-p_e.jpg,https://photos.zillowstatic.com/fp/2a0ef538a85bf244794bb4acfe9259e4-p_e.jpg,https://photos.zillowstatic.com/fp/9becd81392465a31bcc41299d11c0962-p_e.jpg,https://photos.zillowstatic.com/fp/980d4f7d011d2657bbfca6f1dcbe61e2-p_e.jpg,https://photos.zillowstatic.com/fp/76854e7e5ab78eb8553d050814204d38-p_e.jpg"
"1261 N Edgewood St, Flagstaff, AZ 86004",https://www.zillow.com/homedetails/1261-N-Edgewood-St-Flagstaff-AZ-86004/7366224_zpid/,"$3,300/mo",3,3,1613,"https://photos.zillowstatic.com/fp/54ebb1c9cad704ba335eed94581d9716-p_e.jpg,https://photos.zillowstatic.com/fp/db7aa09a19acd26b16825f7bdf964d9e-p_e.jpg,https://photos.zillowstatic.com/fp/40501765c7e37902e604744489b8e549-p_e.jpg,https://photos.zillowstatic.com/fp/0225ab7882737f44a2dbfa334732002e-p_e.jpg,https://photos.zillowstatic.com/fp/e9c1dd127336a8c9593a86dedba990ec-p_e.jpg,https://photos.zillowstatic.com/fp/df48755896350e030faf00213919058d-p_e.jpg,https://photos.zillowstatic.com/fp/85cc7d8b334575810e0b35b39671faf6-p_e.jpg,https://photos.zillowstatic.com/fp/586ba44b846479ed45bffc6c3e991202-p_e.jpg,https://photos.zillowstatic.com/fp/bc98348c491a36e26d601ba556c54f59-p_e.jpg,https://photos.zillowstatic.com/fp/f86ac02610a39359785e5a20aefdc4bc-p_e.jpg,https://photos.zillowstatic.com/fp/2e659684a868c9fed36dc6a6565268e1-p_e.jpg,https://photos.zillowstatic.com/fp/aaa07227ef3c78c498f674a4aaf57b74-p_e.jpg,https://photos.zillowstatic.com/fp/652a7b349f7f277a75a962344c382b6e-p_e.jpg,https://photos.zillowstatic.com/fp/4c085a809738711714db06775782d752-p_e.jpg,https://photos.zillowstatic.com/fp/fa1d9a80666c9ad2cf0f5e97bb036afc-p_e.jpg,https://photos.zillowstatic.com/fp/99cd4630adb89c02dcd0e2dcecd51f94-p_e.jpg,https://photos.zillowstatic.com/fp/efc0b350113c365fd70c3c4156ba2393-p_e.jpg,https://photos.zillowstatic.com/fp/cd81a049babe9c54ff8e58e5402b6c92-p_e.jpg,https://photos.zillowstatic.com/fp/5faf6eec6b2d113437fc426d9d3e7786-p_e.jpg,https://photos.zillowstatic.com/fp/590667483fb40e54220472749ce59a59-p_e.jpg,https://photos.zillowstatic.com/fp/5a9f5f3b099e3bdbdf59c52cdc26cf77-p_e.jpg,https://photos.zillowstatic.com/fp/d47e26973226ae24cbd1e25dc7496b7d-p_e.jpg,https://photos.zillowstatic.com/fp/8f9ef2b7ba9ecd8b9e6b67bba888c049-p_e.jpg,https://photos.zillowstatic.com/fp/06f13edb536b6988800ec00cdd2cb83f-p_e.jpg,https://photos.zillowstatic.com/fp/8931f247268e2230b5fd6fbe6b0226f3-p_e.jpg,https://photos.zillowstatic.com/fp/f2a0bf17ee557bad28dfb14a9fbeb7f0-p_e.jpg,https://photos.zillowstatic.com/fp/1bf988f667cb710daec59f21fd694701-p_e.jpg,https://photos.zillowstatic.com/fp/56ccd5a2c1df4f9b30fd65339fa1dae9-p_e.jpg,https://photos.zillowstatic.com/fp/c94704e45dfca7c885fcaf69e4f994e4-p_e.jpg,https://photos.zillowstatic.com/fp/714a8ec53f8675875f743c4381442d22-p_e.jpg,https://photos.zillowstatic.com/fp/bca0bb73f8dae52e675ae08aaeae76c0-p_e.jpg,https://photos.zillowstatic.com/fp/a6482df4de1797d7869d4d17d1acddc6-p_e.jpg,https://photos.zillowstatic.com/fp/fa7342bf1041d4f8a9962edc01c53fec-p_e.jpg,https://photos.zillowstatic.com/fp/b63cef72107c7f1d8fd61dd73982fa95-p_e.jpg,https://photos.zillowstatic.com/fp/35e2c65deb3fcc8c35d18fb4ef960a3b-p_e.jpg,https://photos.zillowstatic.com/fp/baa126c817adcb0e62319f8ec5c36455-p_e.jpg,https://photos.zillowstatic.com/fp/d0fa93258757d038169937a1db053ece-p_e.jpg,https://photos.zillowstatic.com/fp/b154a81f5d79e479f35b316d416d6abb-p_e.jpg,https://photos.zillowstatic.com/fp/abda2925f2f9d3831af65f1b35674e5c-p_e.jpg,https://photos.zillowstatic.com/fp/95ef01c3aeb10c94451061422469e846-p_e.jpg,https://photos.zillowstatic.com/fp/1fa8eb2ad1b0fcc9196c7ed536d6825d-p_e.jpg,https://photos.zillowstatic.com/fp/3649f2e7f7901ff6c4c28e042d0ec82c-p_e.jpg"
"2281 N Ricke Ln, Flagstaff, AZ 86004",https://www.zillow.com/homedetails/2281-N-Ricke-Ln-Flagstaff-AZ-86004/7370460_zpid/,"$3,500/mo",4,2,2350,"https://photos.zillowstatic.com/fp/0e641d40864b73b1efd743288ba1b98d-p_e.jpg,https://photos.zillowstatic.com/fp/d61fda721d43491cb0fd62bc2609f14d-p_e.jpg,https://photos.zillowstatic.com/fp/1d9d236fc315b67ff0be3e57ac561451-p_e.jpg,https://photos.zillowstatic.com/fp/fa366ad6ef0832646b8cf817d372e124-p_e.jpg,https://photos.zillowstatic.com/fp/a286cd5755767c2dc35e5a80e8baa9a5-p_e.jpg,https://photos.zillowstatic.com/fp/93ef4bc8dbde1b024de5f9caa2839674-p_e.jpg,https://photos.zillowstatic.com/fp/b193d60473c938b0e2e3aeab9a1e439d-p_e.jpg,https://photos.zillowstatic.com/fp/b57ae9b401ce580d55ffeec970eb965e-p_e.jpg,https://photos.zillowstatic.com/fp/fda4cb0fb8463f7e9ed188ebb649aecd-p_e.jpg,https://photos.zillowstatic.com/fp/d248c28fd1909edce93e055898a18ca8-p_e.jpg,https://photos.zillowstatic.com/fp/b151eaf0894d15380560d8d236d475a5-p_e.jpg,https://photos.zillowstatic.com/fp/94b725d95bc2ffe06c7956ecc7a47015-p_e.jpg,https://photos.zillowstatic.com/fp/d3f2dd66e455ddd7794774e1f8d14b99-p_e.jpg,https://photos.zillowstatic.com/fp/13bfe45cd2cdbee32c56277a2f8b5bb5-p_e.jpg,https://photos.zillowstatic.com/fp/7c114f69819a90b59beb6f91943e6295-p_e.jpg,https://photos.zillowstatic.com/fp/9903c2356990afcdcf96c7cc22cb67ad-p_e.jpg,https://photos.zillowstatic.com/fp/cfb92a93903fee55c2b793628f79e3b8-p_e.jpg,https://photos.zillowstatic.com/fp/813bb16085ef8d1e8c0a5397036125ce-p_e.jpg,https://photos.zillowstatic.com/fp/b87945f876f2366109591faba153d488-p_e.jpg,https://photos.zillowstatic.com/fp/5a07399ad69f1256048b347c3fba0e5a-p_e.jpg,https://photos.zillowstatic.com/fp/0fc0de7dab56820057b8a3fbae706750-p_e.jpg,https://photos.zillowstatic.com/fp/7978c12c7e2cf4ad43d80611f0ea7f90-p_e.jpg,https://photos.zillowstatic.com/fp/22b211c8d041b81ea03a428300b77eed-p_e.jpg,https://photos.zillowstatic.com/fp/91ea9749630c8be574d0f47046009d5a-p_e.jpg,https://photos.zillowstatic.com/fp/b58fbf9aa5705cd2719173d1465b8426-p_e.jpg,https://photos.zillowstatic.com/fp/31c47b3122ba5002bd87e2d559049571-p_e.jpg,https://photos.zillowstatic.com/fp/c5725645ac990edc7f2daec1425ec740-p_e.jpg,https://photos.zillowstatic.com/fp/62da92311ae992ad90990db8081c95da-p_e.jpg,https://photos.zillowstatic.com/fp/7ba79fe37344de01e0a5eb9be4218e74-p_e.jpg,https://photos.zillowstatic.com/fp/585b5bce69502fbdd106d898e25a7f82-p_e.jpg,https://photos.zillowstatic.com/fp/9887d7cc68f5c0c40ca621bf911be0e4-p_e.jpg,https://photos.zillowstatic.com/fp/788751375bc73b3e7df4a51e3cc1bebe-p_e.jpg,https://photos.zillowstatic.com/fp/95e1dd51ce5ff5e05e7e9874d27430e4-p_e.jpg,https://photos.zillowstatic.com/fp/19c5228e0868d3c8b9c22d72b5d9a520-p_e.jpg"
